name,chapter,role,hp,points,special_effect,attack_pattern
Haunt,2,baddie,52,300,Gains Negate Damage,"T1: Gain 4 Negate Damage | T2: Add random Curse to random die | T3: 7 2 times + gain 2 Strength | T4: rand | T5+: repeat rand | Rand: 50% '7 2 times +2 Strength' / 30% 'Gain 2 Negate Damage' / 20% 'Add random Curse'"
Crystal Zomboid,2,baddie,42,300,Eats (destroys) Time Crystals,"T1-3: rand | T4: Eat 2 Time Crystals | T5: Strength 20 | T6: rand | T7+: repeat rand | Rand: 25% '4' / 40% '6' / 25% '8' / 10% 'Strength 10'"
Frigid Interloper,2,baddie,56,300,Starts with 20 Block. Stacks Block. Ice Glitch: freezes random die at start of every turn,"T1: Add Ice Glitch modifier | T2: 18 Freeze 2 | T3: Block 20 | T4: 18 Block 10 | T5: Block 10 Freeze 2 | T6: 20 | T7: 30 | T8: 40 | T9: 50 | T10+: repeat 9"
Lavamander,2,baddie,116,300,Melts Block (removes block makes it 0),"T1: 2 5 times | T2: Melt all player Block | T3: Strength 3 | T4: 2 5 times | T5: Melt all player Block | T6: Strength 5 | T7: 2 5 times | T8+: repeat 6-7"
Jellire,2,baddie,42,300,N/A,"T1: 6 Strength 4 | T2+: repeat 1"
Batty,2,baddie,22,300,Heals 6 with every attack,"T1+: repeat rand | Rand: 40% '8 Heal 6' / 30% '6 Poison 2 Heal 6' / 30% '6 Bleed 2 Heal 6'"
Snowfang Pack,2,baddie,72,400,Strength All Snowfang Pack,"T1+: repeat rand | Rand: 30% '14' / 35% '4 2 times' / 25% 'Strength All Pack 2' / 10% 'Strength All Pack 3'"
Jellame,2,baddie,164,400,Summoner. Exhausts random Side,"T1: 16 | T2: Exhaust random Side | T3: 20 | T4: Summon Jellires | T5: Exhaust random Side | T6: 30 | T7: Exhaust random Side | T8: Summon Jellires | T9: 60 | T10+: repeat 9"
Noxious Interloper,2,baddie,88,400,Cures Poison (toxic glitch first attack),"T1: Add Toxic Glitch modifier (cure all poison at end of every turn) | T2: Block 18 Poison 6 | T3: 14 Block 12 | T4: 10 Poison 3 | T5+: repeat 3-4"
Pterrordactyl,2,big,280,800,Starts with 3 Negate Debuffs (Ice Rice). Gains Negate Debuffs. Removes Debuffs. Steals Armor,"T1: 24 | T2: Block 40 | T3: Steal all player armor | T4: 30 Block 5 times current turn | T5: Remove debuffs + Add 3 Negate Debuffs | T6: 30 Block 10 | T7: Steal all player armor | T8: 24 Block 5 times current turn | T9: 40 Block 10 | T10+: repeat 7-9"
Detonox,2,big,240,800,Any time it loses HP gains 3 Strength. Explodes after 7 turns (self-destructs),"T1: Bleed 3 | T2: Bleed 2 | T3: Bleed 1 | T4: 12 | T5: 12 Bleed 3 | T6: 1 3 times | T7: 100 EXPLODE self-destruct and end battle"
Deathbat,2,big,144,800,Summoner. Says phrases,"T1: Summon (Fill empty slots with Battys) | T2: 6 | T3: Strength 6 | T4: Summon | T5: 6 | T6: 34 + Heal 70 | T7: Summon | T8: Strength 10 | T9: 6 | T10+: repeat 8-9"
Big Cheeze,2,boss,700,2000,You fight ONE of 7 modes based on player's Level 3 biome majority on starting dice. Cheezy Glitch applied turn 1.,See boss-big-cheeze.md for all 7 modes
Zomboid Horde,2,boss,,2000,Chapter 2 boss fight: sequential party (Lil Zomboid -> Crystal Zomboid -> Infernal Zomboid -> Necrotic Zomboid -> Cryonic Zomboid),See Zomboid Horde entries below
Infernal Zomboid,2,horde,116,600,Gains 4 Strength at turn end. Every turn a random Side is Exhausted,"T1: 6 2 times | T2: 14 | T3+: repeat 1-2"
Necrotic Zomboid,2,horde,154,600,Heals 8 at turn end,"T1: Poison 2 2 times | T2: Poison 2 | T3: 6 Block 6 | T4: Heal all 12 | T5: Bleed 3 Poison 2 | T6: rand | T7+: repeat 6 | Rand: 20% '10 Poison 2' / 30% 'Heal all 12' / 50% 'Poison 6'"
Cryonic Zomboid,2,horde,190,600,Gain 4 Armor at turn end,"T1: Gain 4 Block at end of every turn | T2: 12 Block 12 | T3: Block 12 + Gain 6 Strength at turn end | T4: Block 12 Freeze 5 | T5: 6 | T6: 2 2 times | T7: rand | T8+: repeat 7 | Rand: 50% '6 Block 4' / 25% 'Strength 18' / 25% '2 2 times'"
